source_pack,source_file,target_repo_path,status
F1_GitHub_OpenF1_Auto_Ingest_Process_Pack_2026-06-09.zip,.github/workflows/openf1-high-frequency-auto-ingest.yml,.github/workflows/openf1-high-frequency-auto-ingest.yml,copied
F1_GitHub_OpenF1_Auto_Ingest_Process_Pack_2026-06-09.zip,.github/workflows/openf1-post-event-reliability-metric.yml,.github/workflows/openf1-post-event-reliability-metric.yml,copied
F1_GitHub_OpenF1_Auto_Ingest_Process_Pack_2026-06-09.zip,scripts/openf1/openf1_high_frequency_auto_ingest.py,scripts/openf1/openf1_high_frequency_auto_ingest.py,copied
F1_GitHub_OpenF1_Auto_Ingest_Process_Pack_2026-06-09.zip,tests/validate_openf1_high_frequency_output.py,tests/validate_openf1_high_frequency_output.py,copied
F1_GitHub_OpenF1_Auto_Ingest_Process_Pack_2026-06-09.zip,configs/openf1/openf1_high_frequency_ingest_policy.json,configs/openf1/openf1_high_frequency_ingest_policy.json,copied
F1_GitHub_OpenF1_Auto_Ingest_Process_Pack_2026-06-09.zip,requirements-openf1-ingest.txt,requirements-openf1-ingest.txt,copied
F1_GitHub_OpenF1_Auto_Ingest_Process_Pack_2026-06-09.zip,README_GITHUB_OPENF1_AUTO_INGEST.md,docs/README_GITHUB_OPENF1_AUTO_INGEST.md,copied
F1_Elite_Operational_Proof_Pattern_Control_FULL7_Pack_2026-06-10.zip,f1_elite_operational_proof_pattern_control_full7_2026-06-10/scripts/weekend_run_orchestrator.py,scripts/weekend_run_orchestrator.py,copied
F1_Elite_Operational_Proof_Pattern_Control_FULL7_Pack_2026-06-10.zip,f1_elite_operational_proof_pattern_control_full7_2026-06-10/scripts/append_locked_forecast_ledger_v2.py,scripts/append_locked_forecast_ledger_v2.py,copied
F1_Elite_Operational_Proof_Pattern_Control_FULL7_Pack_2026-06-10.zip,f1_elite_operational_proof_pattern_control_full7_2026-06-10/scripts/track_zone_mapper.py,scripts/track_zone_mapper.py,copied
F1_Elite_Operational_Proof_Pattern_Control_FULL7_Pack_2026-06-10.zip,f1_elite_operational_proof_pattern_control_full7_2026-06-10/scripts/fantasy_value_backtester.py,scripts/fantasy_value_backtester.py,copied
F1_Elite_Operational_Proof_Pattern_Control_FULL7_Pack_2026-06-10.zip,f1_elite_operational_proof_pattern_control_full7_2026-06-10/scripts/model_disagreement_board_scorer.py,scripts/model_disagreement_board_scorer.py,copied
F1_Elite_Operational_Proof_Pattern_Control_FULL7_Pack_2026-06-10.zip,f1_elite_operational_proof_pattern_control_full7_2026-06-10/scripts/automatic_promotion_demotion_controller.py,scripts/automatic_promotion_demotion_controller.py,copied
F1_Elite_Operational_Proof_Pattern_Control_FULL7_Pack_2026-06-10.zip,f1_elite_operational_proof_pattern_control_full7_2026-06-10/workflows/elite-weekend-engine-run.yml,.github/workflows/elite-weekend-engine-run.yml,copied
F1_Elite_Operational_Proof_Pattern_Control_FULL7_Pack_2026-06-10.zip,f1_elite_operational_proof_pattern_control_full7_2026-06-10/configs/elite_operational_proof_pattern_control_full7_policy.json,configs/elite/elite_operational_proof_pattern_control_full7_policy.json,copied
