timestamp_utc,endpoint,strategy,params_json,rows,status,error,elapsed_seconds
2026-09-13T16:07:47.998939Z,sessions,sessions_by_year,"{""year"": 2026}",131,pass,,0.738
2026-09-13T16:07:48.716300Z,weather,weather_by_session_key,"{""session_key"": 11465}",540,pass,,0.554
2026-09-13T16:07:49.283805Z,race_control,race_control_by_session_key,"{""session_key"": 11465}",56,pass,,0.466
2026-09-13T16:07:49.827218Z,intervals,intervals_by_session_key,"{""session_key"": 11465}",0,http_404,"{""detail"":""No results found.""}",0.441
2026-09-13T16:07:50.398205Z,position,position_by_session_key,"{""session_key"": 11465}",415,pass,,0.47
2026-09-13T16:07:50.963872Z,stints,stints_by_session_key,"{""session_key"": 11465}",207,pass,,0.464
2026-09-13T16:07:51.065899Z,pit,skip_non_race_like_session,"{""session_key"": 11465}",0,skipped_not_applicable,pit endpoint is only treated as required for race/sprint-like sessions,0.0
2026-09-13T16:07:51.512511Z,starting_grid,starting_grid_by_session_key,"{""session_key"": 11465}",0,http_404,"{""detail"":""No results found.""}",0.446
2026-09-13T16:07:52.046754Z,drivers,drivers_by_session_key,"{""session_key"": 11465}",22,pass,,0.433
2026-09-13T16:07:52.595897Z,team_radio,team_radio_by_session_key_opportunistic,"{""session_key"": 11465}",0,http_404,"{""detail"":""No results found.""}",0.447
2026-09-13T16:07:53.169837Z,weather,weather_by_session_key,"{""session_key"": 11466}",484,pass,,0.472
2026-09-13T16:07:53.720185Z,race_control,race_control_by_session_key,"{""session_key"": 11466}",67,pass,,0.448
2026-09-13T16:07:54.265491Z,intervals,intervals_by_session_key,"{""session_key"": 11466}",0,http_404,"{""detail"":""No results found.""}",0.443
2026-09-13T16:07:54.831258Z,position,position_by_session_key,"{""session_key"": 11466}",280,pass,,0.465
2026-09-13T16:07:55.396735Z,stints,stints_by_session_key,"{""session_key"": 11466}",233,pass,,0.463
2026-09-13T16:07:55.498527Z,pit,skip_non_race_like_session,"{""session_key"": 11466}",0,skipped_not_applicable,pit endpoint is only treated as required for race/sprint-like sessions,0.0
2026-09-13T16:07:55.945981Z,starting_grid,starting_grid_by_session_key,"{""session_key"": 11466}",0,http_404,"{""detail"":""No results found.""}",0.447
2026-09-13T16:07:56.493852Z,drivers,drivers_by_session_key,"{""session_key"": 11466}",22,pass,,0.447
2026-09-13T16:07:57.211552Z,team_radio,team_radio_by_session_key_opportunistic,"{""session_key"": 11466}",0,http_404,"{""detail"":""No results found.""}",0.615
2026-09-13T16:07:57.848393Z,weather,weather_by_session_key,"{""session_key"": 11467}",528,pass,,0.535
2026-09-13T16:07:58.404850Z,race_control,race_control_by_session_key,"{""session_key"": 11467}",109,pass,,0.454
2026-09-13T16:07:58.939056Z,intervals,intervals_by_session_key,"{""session_key"": 11467}",0,http_404,"{""detail"":""No results found.""}",0.432
2026-09-13T16:07:59.499810Z,position,position_by_session_key,"{""session_key"": 11467}",216,pass,,0.459
2026-09-13T16:08:00.063035Z,stints,stints_by_session_key,"{""session_key"": 11467}",211,pass,,0.461
2026-09-13T16:08:00.165022Z,pit,skip_non_race_like_session,"{""session_key"": 11467}",0,skipped_not_applicable,pit endpoint is only treated as required for race/sprint-like sessions,0.0
2026-09-13T16:08:00.616179Z,starting_grid,starting_grid_by_session_key,"{""session_key"": 11467}",0,http_404,"{""detail"":""No results found.""}",0.451
2026-09-13T16:08:01.167935Z,drivers,drivers_by_session_key,"{""session_key"": 11467}",22,pass,,0.45
2026-09-13T16:08:01.724137Z,team_radio,team_radio_by_session_key_opportunistic,"{""session_key"": 11467}",1,pass,,0.454
2026-09-13T16:08:02.303830Z,weather,weather_by_session_key,"{""session_key"": 11470}",517,pass,,0.478
2026-09-13T16:08:02.855879Z,race_control,race_control_by_session_key,"{""session_key"": 11470}",57,pass,,0.45
2026-09-13T16:08:03.418515Z,intervals,intervals_by_session_key,"{""session_key"": 11470}",0,http_404,"{""detail"":""No results found.""}",0.461
2026-09-13T16:08:03.996360Z,position,position_by_session_key,"{""session_key"": 11470}",429,pass,,0.477
2026-09-13T16:08:04.560955Z,stints,stints_by_session_key,"{""session_key"": 11470}",243,pass,,0.463
2026-09-13T16:08:04.662973Z,pit,skip_non_race_like_session,"{""session_key"": 11470}",0,skipped_not_applicable,pit endpoint is only treated as required for race/sprint-like sessions,0.0
2026-09-13T16:08:05.104856Z,starting_grid,starting_grid_by_session_key,"{""session_key"": 11470}",0,http_404,"{""detail"":""No results found.""}",0.442
2026-09-13T16:08:05.645844Z,drivers,drivers_by_session_key,"{""session_key"": 11470}",22,pass,,0.44
2026-09-13T16:08:06.193804Z,team_radio,team_radio_by_session_key_opportunistic,"{""session_key"": 11470}",0,http_404,"{""detail"":""No results found.""}",0.446
2026-09-13T16:08:06.965665Z,weather,weather_by_session_key,"{""session_key"": 11469}",558,pass,,0.67
2026-09-13T16:08:07.518398Z,race_control,race_control_by_session_key,"{""session_key"": 11469}",51,pass,,0.451
2026-09-13T16:08:08.067702Z,intervals,intervals_by_session_key,"{""session_key"": 11469}",0,http_404,"{""detail"":""No results found.""}",0.447
2026-09-13T16:08:08.630067Z,position,position_by_session_key,"{""session_key"": 11469}",364,pass,,0.461
2026-09-13T16:08:09.204166Z,stints,stints_by_session_key,"{""session_key"": 11469}",265,pass,,0.472
2026-09-13T16:08:09.306046Z,pit,skip_non_race_like_session,"{""session_key"": 11469}",0,skipped_not_applicable,pit endpoint is only treated as required for race/sprint-like sessions,0.0
2026-09-13T16:08:09.748972Z,starting_grid,starting_grid_by_session_key,"{""session_key"": 11469}",0,http_404,"{""detail"":""No results found.""}",0.443
2026-09-13T16:08:10.294408Z,drivers,drivers_by_session_key,"{""session_key"": 11469}",22,pass,,0.444
2026-09-13T16:08:10.840390Z,team_radio,team_radio_by_session_key_opportunistic,"{""session_key"": 11469}",0,http_404,"{""detail"":""No results found.""}",0.444
2026-09-13T16:08:11.424060Z,weather,weather_by_session_key,"{""session_key"": 11468}",559,pass,,0.482
2026-09-13T16:08:11.957834Z,race_control,race_control_by_session_key,"{""session_key"": 11468}",46,pass,,0.432
2026-09-13T16:08:12.506068Z,intervals,intervals_by_session_key,"{""session_key"": 11468}",0,http_404,"{""detail"":""No results found.""}",0.446
2026-09-13T16:08:13.075275Z,position,position_by_session_key,"{""session_key"": 11468}",341,pass,,0.468
2026-09-13T16:08:13.634801Z,stints,stints_by_session_key,"{""session_key"": 11468}",290,pass,,0.458
2026-09-13T16:08:13.736801Z,pit,skip_non_race_like_session,"{""session_key"": 11468}",0,skipped_not_applicable,pit endpoint is only treated as required for race/sprint-like sessions,0.0
2026-09-13T16:08:14.184991Z,starting_grid,starting_grid_by_session_key,"{""session_key"": 11468}",0,http_404,"{""detail"":""No results found.""}",0.448
2026-09-13T16:08:14.733016Z,drivers,drivers_by_session_key,"{""session_key"": 11468}",22,pass,,0.447
2026-09-13T16:08:15.283518Z,team_radio,team_radio_by_session_key_opportunistic,"{""session_key"": 11468}",1,pass,,0.449
2026-09-13T16:08:15.831353Z,weather,weather_by_session_key,"{""session_key"": 11227}",82,pass,,0.446
2026-09-13T16:08:16.382554Z,race_control,race_control_by_session_key,"{""session_key"": 11227}",45,pass,,0.449
2026-09-13T16:08:16.927514Z,intervals,intervals_by_session_key,"{""session_key"": 11227}",0,http_404,"{""detail"":""No results found.""}",0.443
2026-09-13T16:08:17.471239Z,position,position_by_session_key,"{""session_key"": 11227}",0,http_429,"{""detail"":""Rate limit exceeded. Max 30 requests/minute."",""error"":""Too Many Requests""}",0.442
2026-09-13T16:08:18.013547Z,position,position_by_meeting_key_fallback,"{""meeting_key"": 1279}",0,http_429,"{""detail"":""Rate limit exceeded. Max 30 requests/minute."",""error"":""Too Many Requests""}",0.441
2026-09-13T16:08:18.544605Z,stints,stints_by_session_key,"{""session_key"": 11227}",0,http_429,"{""detail"":""Rate limit exceeded. Max 30 requests/minute."",""error"":""Too Many Requests""}",0.43
2026-09-13T16:08:18.645970Z,pit,skip_non_race_like_session,"{""session_key"": 11227}",0,skipped_not_applicable,pit endpoint is only treated as required for race/sprint-like sessions,0.0
