timestamp_utc,endpoint,strategy,params_json,rows,status,error,elapsed_seconds
2026-08-23T22:30:39.418712Z,sessions,sessions_by_year,"{""year"": 2026}",131,pass,,0.576
2026-08-23T22:30:40.202648Z,weather,weather_by_session_key,"{""session_key"": 11465}",540,pass,,0.588
2026-08-23T22:30:41.077063Z,race_control,race_control_by_session_key,"{""session_key"": 11465}",56,pass,,0.772
2026-08-23T22:30:41.707715Z,intervals,intervals_by_session_key,"{""session_key"": 11465}",0,http_404,"{""detail"":""No results found.""}",0.529
2026-08-23T22:30:42.346428Z,position,position_by_session_key,"{""session_key"": 11465}",415,pass,,0.537
2026-08-23T22:30:43.040503Z,stints,stints_by_session_key,"{""session_key"": 11465}",207,pass,,0.592
2026-08-23T22:30:43.142686Z,pit,skip_non_race_like_session,"{""session_key"": 11465}",0,skipped_not_applicable,pit endpoint is only treated as required for race/sprint-like sessions,0.0
2026-08-23T22:30:43.641445Z,starting_grid,starting_grid_by_session_key,"{""session_key"": 11465}",0,http_404,"{""detail"":""No results found.""}",0.499
2026-08-23T22:30:44.323191Z,drivers,drivers_by_session_key,"{""session_key"": 11465}",22,pass,,0.581
2026-08-23T22:30:44.992816Z,team_radio,team_radio_by_session_key_opportunistic,"{""session_key"": 11465}",0,http_404,"{""detail"":""No results found.""}",0.567
2026-08-23T22:30:45.593610Z,weather,weather_by_session_key,"{""session_key"": 11466}",484,pass,,0.499
2026-08-23T22:30:46.406900Z,race_control,race_control_by_session_key,"{""session_key"": 11466}",67,pass,,0.711
2026-08-23T22:30:47.002834Z,intervals,intervals_by_session_key,"{""session_key"": 11466}",0,http_404,"{""detail"":""No results found.""}",0.494
2026-08-23T22:30:47.785195Z,position,position_by_session_key,"{""session_key"": 11466}",280,pass,,0.68
2026-08-23T22:30:48.393254Z,stints,stints_by_session_key,"{""session_key"": 11466}",233,pass,,0.506
2026-08-23T22:30:48.495310Z,pit,skip_non_race_like_session,"{""session_key"": 11466}",0,skipped_not_applicable,pit endpoint is only treated as required for race/sprint-like sessions,0.0
2026-08-23T22:30:48.980668Z,starting_grid,starting_grid_by_session_key,"{""session_key"": 11466}",0,http_404,"{""detail"":""No results found.""}",0.485
2026-08-23T22:30:49.588377Z,drivers,drivers_by_session_key,"{""session_key"": 11466}",22,pass,,0.506
