timestamp_utc,endpoint,strategy,params_json,rows,status,error,elapsed_seconds
2026-07-11T20:13:22.936580Z,sessions,sessions_by_year,"{""year"": 2026}",126,pass,,0.56
2026-07-11T20:13:23.667927Z,weather,weather_by_session_key,"{""session_key"": 11465}",540,pass,,0.571
2026-07-11T20:13:24.247072Z,race_control,race_control_by_session_key,"{""session_key"": 11465}",56,pass,,0.477
2026-07-11T20:13:24.896351Z,intervals,intervals_by_session_key,"{""session_key"": 11465}",0,http_404,"{""detail"":""No results found.""}",0.547
2026-07-11T20:13:25.556645Z,position,position_by_session_key,"{""session_key"": 11465}",415,pass,,0.559
2026-07-11T20:13:26.110323Z,stints,stints_by_session_key,"{""session_key"": 11465}",207,pass,,0.452
2026-07-11T20:13:26.212335Z,pit,skip_non_race_like_session,"{""session_key"": 11465}",0,skipped_not_applicable,pit endpoint is only treated as required for race/sprint-like sessions,0.0
2026-07-11T20:13:26.760284Z,starting_grid,starting_grid_by_session_key,"{""session_key"": 11465}",0,http_404,"{""detail"":""No results found.""}",0.548
2026-07-11T20:13:27.268530Z,drivers,drivers_by_session_key,"{""session_key"": 11465}",22,pass,,0.407
2026-07-11T20:13:27.770676Z,team_radio,team_radio_by_session_key_opportunistic,"{""session_key"": 11465}",0,http_404,"{""detail"":""No results found.""}",0.4
2026-07-11T20:13:28.448826Z,weather,weather_by_session_key,"{""session_key"": 11466}",484,pass,,0.577
2026-07-11T20:13:29.015357Z,race_control,race_control_by_session_key,"{""session_key"": 11466}",67,pass,,0.465
2026-07-11T20:13:29.656388Z,intervals,intervals_by_session_key,"{""session_key"": 11466}",0,http_404,"{""detail"":""No results found.""}",0.539
2026-07-11T20:13:30.371625Z,position,position_by_session_key,"{""session_key"": 11466}",280,pass,,0.614
2026-07-11T20:13:31.018415Z,stints,stints_by_session_key,"{""session_key"": 11466}",233,pass,,0.545
2026-07-11T20:13:31.120385Z,pit,skip_non_race_like_session,"{""session_key"": 11466}",0,skipped_not_applicable,pit endpoint is only treated as required for race/sprint-like sessions,0.0
2026-07-11T20:13:31.658746Z,starting_grid,starting_grid_by_session_key,"{""session_key"": 11466}",0,http_404,"{""detail"":""No results found.""}",0.538
2026-07-11T20:13:32.169691Z,drivers,drivers_by_session_key,"{""session_key"": 11466}",22,pass,,0.41
2026-07-11T20:13:32.721733Z,team_radio,team_radio_by_session_key_opportunistic,"{""session_key"": 11466}",0,http_404,"{""detail"":""No results found.""}",0.45
2026-07-11T20:13:33.242400Z,weather,weather_by_session_key,"{""session_key"": 11467}",528,pass,,0.419
2026-07-11T20:13:33.792474Z,race_control,race_control_by_session_key,"{""session_key"": 11467}",109,pass,,0.448
2026-07-11T20:13:34.294179Z,intervals,intervals_by_session_key,"{""session_key"": 11467}",0,http_404,"{""detail"":""No results found.""}",0.4
2026-07-11T20:13:34.801411Z,position,position_by_session_key,"{""session_key"": 11467}",216,pass,,0.406
2026-07-11T20:13:35.311040Z,stints,stints_by_session_key,"{""session_key"": 11467}",211,pass,,0.408
2026-07-11T20:13:35.413128Z,pit,skip_non_race_like_session,"{""session_key"": 11467}",0,skipped_not_applicable,pit endpoint is only treated as required for race/sprint-like sessions,0.0
2026-07-11T20:13:35.824688Z,starting_grid,starting_grid_by_session_key,"{""session_key"": 11467}",0,http_404,"{""detail"":""No results found.""}",0.411
2026-07-11T20:13:36.469279Z,drivers,drivers_by_session_key,"{""session_key"": 11467}",22,pass,,0.543
2026-07-11T20:13:36.963125Z,team_radio,team_radio_by_session_key_opportunistic,"{""session_key"": 11467}",1,pass,,0.392
2026-07-11T20:13:37.544069Z,weather,weather_by_session_key,"{""session_key"": 11470}",517,pass,,0.479
2026-07-11T20:13:38.049739Z,race_control,race_control_by_session_key,"{""session_key"": 11470}",57,pass,,0.404
2026-07-11T20:13:38.727856Z,intervals,intervals_by_session_key,"{""session_key"": 11470}",0,http_404,"{""detail"":""No results found.""}",0.576
2026-07-11T20:13:39.257212Z,position,position_by_session_key,"{""session_key"": 11470}",429,pass,,0.428
2026-07-11T20:13:39.771614Z,stints,stints_by_session_key,"{""session_key"": 11470}",243,pass,,0.412
2026-07-11T20:13:39.873609Z,pit,skip_non_race_like_session,"{""session_key"": 11470}",0,skipped_not_applicable,pit endpoint is only treated as required for race/sprint-like sessions,0.0
2026-07-11T20:13:40.271166Z,starting_grid,starting_grid_by_session_key,"{""session_key"": 11470}",0,http_429,"{""detail"":""Rate limit exceeded. Max 30 requests/minute."",""error"":""Too Many Requests""}",0.397
2026-07-11T20:13:40.774844Z,drivers,drivers_by_session_key,"{""session_key"": 11470}",0,http_429,"{""detail"":""Rate limit exceeded. Max 30 requests/minute."",""error"":""Too Many Requests""}",0.402
2026-07-11T20:13:41.278124Z,drivers,drivers_by_observed_driver_number,"{""driver_number"": 1, ""session_key"": 11470}",0,http_429,"{""detail"":""Rate limit exceeded. Max 30 requests/minute."",""error"":""Too Many Requests""}",0.399
2026-07-11T20:13:41.781623Z,drivers,drivers_by_observed_driver_number,"{""driver_number"": 3, ""session_key"": 11470}",0,http_429,"{""detail"":""Rate limit exceeded. Max 30 requests/minute."",""error"":""Too Many Requests""}",0.402
