path,bytes,sha256
IMPLEMENTATION_SCORECARD.txt,393,c50b35d335371d025ea855a56a96b580974be78a04f01b81d695d6609091598f
PROMOTION_GATE_REPORT.txt,197,af287c5cc06a01ee66616a9d6385db9b1f13ff4a71fed44c87f244d0cfaf4fb3
README.txt,1270,80474afbac789a2e6a46e91878e0202e40802aced220fbcd103ffd89c4edb851
VALIDATION_REPORT.txt,607,dc70abc266e6ee0f970a61495b85bc2c149cf812a220f7ff4d5ecd14919cc10d
install.bat,99,e6663548b0ccbe39264681c5f03abfc3e95e85ae0e568b68aa5c7f1af12b4bf1
install.ps1,2718,2c68e437a88fc46c44eb176ef8ea233388b560fc8c9a36dacf3d57dacda75617
local_validation_result.json,169,48ae39130a95d38c60dbc6b5bcb8d5dd4847d3393ce002c84c62b53f5606783a
package_manifest.csv,1075,7da330a0ccfd1973e2d1ad598d24b63d29f4e13ca0a36e205463540fb84c9628
payload/.github/workflows/f1-workbook-kpi-refresh-scheduled.yml,2107,687436c338d7293843fad8dd618002bc26b179bc51f55a6a3dc3bb38291de44b
payload/.github/workflows/f1-workflow-meta-health-safe-test-button.yml,728,b66b762b9f8945221cc9a38161c5992210f2562b53b267ce10737799550489fc
payload/scripts/ops/__pycache__/f1_workflow_meta_health_check_v1.cpython-313.pyc,6237,7aed689fef5fc24b2064d34c008f769ca54e8f2cacf518f042f515d55a932788
payload/scripts/ops/f1_workflow_meta_health_check_v1.py,3875,dbf01ab5023044a667e9eae1598c18f8236fbb61ca908bc6e330e3680b4f9d75
payload/scripts/ops/safe_git_push_rebase_retry.sh,853,2f228cf4be3b1ced9b572346b1cad3efb982c332aea0471495b90cf995b79308
